"","text","vaccine"
"27","@jp_miner @doritmi @NotOfIt7k @mcfunny @JHowardBrainMD @KitemanArgues @LauraDekker1 @KittyAmnezia @SMcMenemin @glovoi_net @PedsID4Life @weaponizedword1 @JulieAMcLean @VeritasEver @krebiozen @tombarr26816936 @CoercedTaxSlave @KrochetxKorner @igitwp @celtic49247991 @LilEarthling369 @SkepticalMutant @VikingRN @RogueTrader84 @RightWingBlack2 @troydee @Just4TheCause @md444444444 @ianfmusgrave @alchemy_april @Sheeple101 @PattyPatriot_ @Exagtly @bobsnee @Luma923 @milnem @TeddyFreddy11 @kidoctr @begarcia87 @laurast30381821 @Plasticdoe @michabird67 @StopVaxxedLies @EmmaGPaley @TYLERG927 @SpectrumomYeah @BoggyLuuuu @erikwilson1975 @carlsmythe @djt10 As a medical educator, I know medical students and residents receive education about vaccines and the diseases they prevent and are required to demonstrate this knowledge. They are not taught anti-vax myths. #Science #VaccinesWork",1
"28","Anti-vaxxers also oppose #StayAtHome , #WearAMask , #ContactTracing &amp; other measures to halt #COVID19 and target #publichealth advocates w/ hate &amp; personal threats. #SoMe profit from disinformation &amp; hate w/ debunking cost borne by #SoMeDocs #tweetiatricians #StopHateForProfit https://t.co/RidXy9CsAU",1
"29","The @NewYorkGOP is so devoid of ideas that this is their public health platform:

❌ Oppose expanded flu vaccination
❌ Oppose sex education
✅ Support plastic pollution

Proud to be a New York Democrat. https://t.co/7dZHugAtqD",1
"30","RT @ADragsbaek: The herd showed up in force to support #hb2171 to extend the length of time immunizations are in the registry @dr_sheffield…",1
"31","RT @DrPanMD: Two weeks before an anti-vaxxer threw blood onto the Senate floor, this image was shared among anti-vaxxers. Yet none of the g…",1
"32","RT @JamesxMyall: In 1885, Maine's public health officials were afraid that unvaccinated immigrants would bring smallpox into the state. So…",1
"33","It’s not possible to mix those kids up without treatment or vaccines. https://t.co/CgUqwblR6V",1
"34","RT @RepDavidTrone: Today I spoke with @emergentbiosolu about their vaccine and therapeutic developments to respond to #COVID19. Two actions…",1
"35","RT @CDCDirector: Misinformation about vaccines is still widely reported, so I feel it is crucial to state clearly and unambiguously: vaccin…",1
"36","RT @MatthewCBittle: Wearing a mask in public """"is probably going to be the way of life for us for quite some time until a vaccine is widespr…",1
"37","Shingles vaccine scarce in Conn.  shortage to continue https://t.co/IwJbas5TZC via @ctmirror",1
"38","Oxford coronavirus vaccine generates promising Phase 1/2 results: Study - ABC News - https://t.co/2w9wW8pSwu via @ABC",1
"39","Why vaccine costs are soaring - price to fully vaccinate a child has risen from $100 in 1986 to $2,192 today http://t.co/dhSNw6xkI3",1
"40","RT @DefranceLori: Thank you ⁦@RepFreiberg⁩ for celebrating immunizations today!
⁦@mnaap  ⁩ #CelebrateIZ https://t.co/qOxMx3HEex",1
"41","THREAD: Susan, a mom of an infant child that also runs a licensed after school program from her home, contacted my office devastated about the religious exemptions to #vaccines in Massachusetts. A family just enrolled a child into her program, with a religious exemption. (1/3)",1
"42","Thank you Arlington resident John Seymour for highlighting my bill to take politics out of Virginia’s immunization policy. This bill will save lives and couldn’t be more relevant to this moment. ⁦@ARLnowDOTcom⁩  https://t.co/yiWJYcgvs5",1
"43","RT @bradhoylman: Would @Facebook care to explain why they continue to allow antivaxxers free rein to dismiss science, deliberately spread m…",1
"44","RT @AmerAcadPeds: All children ages 6 months and older should receive a flu vaccine this season for the best protection, @AmerAcadPeds reco…",1
"45","@tinagal13 @BucksCountyGovt Please visit https://t.co/sLU0qGxMIg for more information on Montgomery County's immunization program.",1
"46","RT @District21st: 😷FREE FLU SHOTS FOR PG CO. RESIDENTS! Ea yr the @PGCHealth offers free flu vaccinations for ALL county residents ages 6 m…",1
"47","I agree. And it should be noted that obtaining immunizations isn’t something we do just for personal benefit, it is something we do to protect the health of others. #coleg #copolitics https://t.co/npz51RjacA",1
"48","We are letting fear and conspiracy replace science and data. And that is alarming. The number of religious exemptions across CT schools continues to increase. Moms and dads who vaccinate their children should be concerned. Please speak up and demand action. #VaccinesWork https://t.co/NRJ35Svvje",1
"49","The Anti-Vaccine Movement Gains a Friend in the White House, via @nytimes https://t.co/CgdP5YBugU",1
"50","CA had among the most lax school vaccination mandates; parents sign an exemption to enroll child for school. Exemption rates rising for many years.

#VaccinesWork #Ivax2protect",1
"51","RT @PressSec: President @realDonaldTrump has broken through bureaucratic barriers, securing therapeutics and a vaccine in Phase 3 clinical…",1
"52","Yale University Study Using Children’s Health Records Links Vaccines to Mental Disorders - https://t.co/yC8B9Q9sEZ",1
"53","Study Finds Sharp Drop in HPV Infections in Girls http://t.co/3Lv2wrTkd9 Even Rwanda has a higher vaccination rate than US.",1
"54","@c4rogers @tylaceymd Respectfully, this is where we disagree. While there are high profile anecdotal stories of young, healthy people requiring hospitalization or even dying, those are statistical outliers. If we fail to account for that, youth sports will be banned until there is a vaccine.",1
"55","RT @wearamaskca: There's a virus in the world today -- it's political extremists attacking science, vaccines and masks that keep us safe. @…",1
"56","RT @AboutPediatrics: @JayGordonMDFAAP Sure Jay. Then why is he getting support in most anti-vax forums? https://t.co/lYH7voFix8",1
"57","RT @reviewjournal: Immunizations will be provided at no cost and on a first-come, first-served basis to Medicaid eligible, uninsured and un…",1
"58","RT @Vaxyourfam: August is National Immunization Awareness Month. Start the month off right by sharing our website with common - and not so…",1
"59","RT @PaSenateDems: August is National Immunization Awareness Month!
 
We want to remind Pennsylvanians of all ages to make sure their vaccin…",1
"60","RT @_WhiteRabbitt_: STILL BELIEVE IN VACCINES? 🥺
#Vaccinesaregenocide https://t.co/JLjNV1jchI",1
"61","RT @lmower3: Florida's surgeon general just said Floridians will have to maintain social distancing measures until there's a vaccine.

""""Thi…",1
"62","RT @NBCNewsTHINK: The HPV vaccine is on trial as anti-vaxxers mobilize — bafflingly — against cancer prevention, writes @aetiology.

The sa…",1
"63","Get it done TAMU in on the defeat #COVID19 effort: Feds approve $265 million to manufacture coronavirus vaccine at Texas A&amp;M facility - News - Austin American-Statesman - Austin, TX https://t.co/XvsvRhLgFv",1
"64","RT @SecAzar: .@NIH and its partners have launched the first #COVID19 vaccine trial anywhere in the world, in record-breaking time. https://…",1
"65","Recent measles outbreaks in L.A. &amp; Sacramento serve as a reminder:

Everyone who can be vaccinated should be vaccinated. https://t.co/6sitbD8rd1",1
"66","Still need to get your flu shot? I'm hosting a flu vaccine clinic w/ @HealthNYGov in Hamburg today, 4-7pm at the VFW 1419, 2985 Lakeview Rd.",1
"67","RT @RepAndyVargas: """"If pharmaceutical companies merely wanted to increase their profit margins, they would stop manufacturing vaccines and…",1
"68","RT @AP: In 1918, no one had a vaccine, treatment or cure for the great flu pandemic as it ravaged the world and killed more than 50 million…",1
"69","RT @adlerben: BREAKING: Without comment, @GavinNewsom has signed BOTH vaccine bills by @DrPanMD: #SB276 and #SB714",1
"70","A vaccine injury is cause for medical exemption, not religious exemption. Any child who has a medical reason not to vaccinate should contact their pediatrician and fill out this form: https://t.co/TPlhgVRSqq https://t.co/xqP6swuoRw",1
"71","RT @ChandlerCARECtr: Immunizations and feee hearing and vision screening for youth TODAY, Saturday 5/18 from 9-11 am. @ChandlerUnified http…",1
"72","RT @doritmi: Anti-vaccine campaign submits signatures they lied to get | Beacon: https://t.co/D7UylpjmuW via @mebeacon #vaccines #vaccinesw…",1
"73","RT @washingtonpost: Anti-vaccine activists spark a state’s worst measles outbreak in decades https://t.co/4ta3kCRpYV",1
"74","@RyanODaniel VACCINATIONS. You’re welcome. 👋🏽",1
"75","The Hepatitis A outbreak continues across Kentucky. The Kentucky Department of Health is recommending vaccinations, especially for people in those counties that have 5 or more  reported cases. Contact your physician or @LFCHD for more info. https://t.co/IpV641EXl9",1
"76","Dr. Ford such a pleasure to virtually meet you. It is an honor to represent you in Trenton. We have 3,561 vaccine choice members in the district. We are working on bringing everyone together. Would love to have you join us.  Would you mind inboxing your email addy to me. Thx you! https://t.co/5evflWn8lv",1
"77","All of us should take self-inventory of how long we’ve been dying from the disease of silence. If only there were a vaccination to cure and to prevent such silence. https://t.co/XElgiT2ap3",1
"78","RT @Bret_Sears: Today NB politicians will be voting on mandatory vaccines for kids in school.

It includes all vaccines recommend by Health…",1
"79","RT @sfchronicle: A red liquid an anti-vaccine protester threw on lawmakers last month was in fact human blood, confirmed the California Sen…",1
"80","This is about a 45 min listen about the Spanish Flu epidemic of 1918-19. Very instructive. Many similarities about popular sentiment. There was no vaccine. Social distancing was the paramount precaution. https://t.co/2syq7qODSY",1
"81","Great to see that @Pfizer is beginning human trials for a vaccine that will soon be manufactured in Massachusetts if successful. https://t.co/LZUAOLsh6G",1
"82","Thankful for the RN’s out at the Capitol today who are administering the #FluShot #VaccinesSaveLives. Make sure you get yours today! #publichealth https://t.co/rGmDbcnUvg",1
"83","Scientists Worry About Political Influence Over Coronavirus Vaccine Project

https://t.co/xZx4coV5Ex",1
"84","RT @DrPaulaWhiteman: An unvaccinated (for flu) teen's final days with the 😷 #Flu 

😟😢😭

#GetYourFluVaccine  https://t.co/F0Po1eHe6L",1
"85","@Michael_Sn0w @jdforward @HealthNYGov How can we connect? I’m dropping my vaccination bill again this year and would love to connect with him as AZ needs the help against the antivaxxers.",1
"86","@waltshaub Great idea--its not like we need to spend that money on testing, PPE, unemployment benefits, childcare, small business supports, vaccination development, etc....",1
"87","RT @alyangel88: Antivaccine rhetoric is dangerous. Vaccine hesitance and refusal threaten public health, and assault on lawmakers and other…",1
"88","@TinaBug23 @brittertwits The difference is injecting bleach and Lysol will kill you. Vaccines appropriately administered will protect us all.  Object lesson of the value of a vaccine: COVID deaths, COVID economic shutdown and COVID driven unemployment.  The essential thing to remedy all that? A vaccine.",1
"89","@jessibridges We want to standardize  reporting of exemptions for vaccinations so that the health department can more easily notify those affected in the event of an outbreak. Right now some schools keep exemption information on sticky notes in student files making notification time consuming",1
"90","RT @PaSenateDems: Vaccine-preventable diseases can be very dangerous.

Some may require hospitalization while other may result in death.…",1
"91","RT @RonaldKlain: If the #COVID vaccine is invented overseas, or produced overseas, who are we going to call to get doses for Americans? htt…",1
"92","Well said, @GovTimWalz. Staying home is the ONLY vaccine we have right now. #MNSOTS #StayHomeMN #COVID19",1
"93","RT @drninashapiro: Death threats, physical attack on  ⁦@DrPanMD⁩, and now measles back in theme parks. 

Vaccine Proponents Receive Death T…",1
"94","I am hoping to get a  compromise and am proposing that we appropriate monies for vaccine-safety research. #AZLEG",1
"95","GREEN is not a VACCINE.  Wear a mask and social distance when you go out.  Protect yourself.  Protect others. Crush #COVID19 . https://t.co/DVglTjJWge",1
"96","RT @ChildHospAssnTX: Children who can't be vaccinated have rights, too, by Heather Cummings in @TribTalkTX: http://t.co/hbSTSPD1pD @dr_shef…",1
"97","Proud to support @WEAVEinc to prevent domestic violence against women. Anti-vaxxers again opposing efforts to halt violence and injury. #HeForShe #Resist #AlternativeFacts #StopAntiVaxViolence @BethHassett https://t.co/aaMuDvk4kZ",1
"98","RT @TexasTribune: A large majority of Texas voters think the government should require their children to be vaccinated against things like…",1
"99","RT @DrPanMD: Thanks @madrid_mike and @abrown12345 for having me on #BehindtheBill to talk about #SB276 #VaccinesWork #FakeMEsHurtKids #Meas…",1
"100","RT @jessicafortexas: Dallas County Health and Human Services Department offers free seasonal flu vaccines for children and adults, links in…",1
"101","RT @eileeniorio: I've said this before. Make pharma accountable and this all goes away tomorrow. No more so-called """"anti-vaxxers"""", no more…",1
"102","Death threats, shoves, and throwing blood: Anti-vaxxers’ bullying of public health officials... https://t.co/CSpbDQVywt via @statnews @VaccinateCal @CMAdocs #Ivax2protect #COVID19",1
"103","RT @CDCFlu: Babies younger than 6 months are too young to get a flu vaccine.
 
Their best protection from #flu is when those around them ta…",1
"104","(AP) -- CT is expanding free flu vaccinations to all children six months through 18 years old because of widespread illness in the state.",1
"105","Parroting anti-vax talking points is, indeed, anti-vax.

Please re-focus your efforts on actual science.

Alternatively, please drop out of the race, since the Democratic Party is the party of science. That’s one of the key things that makes us different than Trump. https://t.co/cE8kyvHUSw",1
"106","There won't be any easy choices until we get an effective vaccine, and I think the Dover School Board made the right call last night. I'll be speaking at 3PM School Board members Rachel Burdin and Zak Koehler about the Board's decision. Please join us! https://t.co/XYxrXMRSFe",1
"107","Back to school means vaccines…do you know PA’s requirements? Click to find out
https://t.co/3eNxefO8Av https://t.co/3CMH1PBi3I",1
"108","RT @WashTimes: Monday was perhaps the most hopeful day yet of the COVID-19 outbreak in the U.S., as a Moderna reported a promising vaccine…",1
"109","""""7% of all vaccinations are duplicated."""" HB 310 will require providers to report vaccinations in one database. #utpol #utleg https://t.co/mQBMar39cJ",1
"110","Before we had widespread vaccination and modern medicine, hundreds of people died from preventable illness in NY every week.

The @nytimes ran a column about it called """"Weekly Mortality.""""

This is still happening in other countries where vaccination has declined or never spread. https://t.co/1QVBPLF8Nn",1
"111","RT @AP: In 1918, no one had a vaccine, treatment or cure for the great flu pandemic as it ravaged the world and killed more than 50 million…",1
"112","State leadership envisions how we emerge with a test, trace, quarantine framework until there's a vaccine. #Science! Nice shoutout to @MassGovernor for contact tracing leadership. WH response is shameful and life-threatening. #mapoli https://t.co/MQV4fXAOpk",1
"113","Reminder:

@NYCHealthSystem offers FREE vaccinations to children of up to 2 years of age. 

More info here: https://t.co/7uQThgi84p

#ImmunizationAwarenessMonth https://t.co/jjlfWtWY9c",1
"114","Outbreaks are not only a problem in CA or NY— measles have been reported in PGH. Parents, please do all you can to protect your children + and our larger community. That means using the widely available, safe and effective MMR vaccine.https://t.co/93jWuyhr04",1
"115","@mdcfBBA @LCBriard No one is saying that a potential vaccine wouldn't be properly vetted.",1
"116","Flu Vaccine Recommendations Updated by CDC https://t.co/2PLXIuzZ0G via @medscape",1
"117","RT @CAJewishCaucus: .@RobertKennedyJr - Please stop making comparisons between the Holocaust and vaccines. It's offensive.",1
"118","RT @ddiamond: BILL GATES: Coronavirus acting like a “once-in-a-century pathogen,” and governments must pour billions into vaccines, boost p…",1
"119","King is my hero.

When he was in the middle of his cancer treatment, King shared his story so that we could protect kids like him who depend on their fellow New Yorkers to be vaccinated. 

Go King—you're going to change the world. https://t.co/xK4ZIdXqgP",1
"120","@Brad_4587 @JJinGardenState @FrdmFighterNJ @dad_liams Yes, the federal program born out of the National childhood vaccine injury act of ‘86",1
"121","Guns, vaccinations, trains and Ways and Means on the road are some of the topics discussed on 'This Week with... http://t.co/jeMNugJvsD",1
"122","@tomtomsquire I might have to disagree with you on that with regards to vaccines. The anti-vaxxers are their own religion, and they adopt whatever political power is in control...R or D...look at Washington and Oregon. But I will call for backup on this...@PeterHotez",1
"123","Via @CNN, MMR vaccine does not cause autism, another study confirms https://t.co/CXzK63JddC",1
"124","RT @politico: """"Without better planning, 2020 could be the darkest winter in modern history,"""" ousted vaccine chief Rick Bright testified to…",1
"125","Its that time of year again! Vaccines not only protect you, but also your community and your state!... https://t.co/xEgBjWYlLc",1
"126","RT @Atul_Gawande: A 6 yr old Oregon boy whose parents refused vaccination got the first pediatric case of tetanus in the state in 30 years.…",1
"127","This story breaks my heart. Responsible citizens do not have the right to risk the health of others, particularly children, due to misinformation and fear. #HB3063 A will save lives and protect public health. #VaccinesSaveLives #YesOnHB3063 #orpol #orleg https://t.co/G4kX2AMDS5",1
"128","RT @brianclaymd: Many vaccines don’t need to be repeated. But this message does. 

#StopAntiVaxViolence #VaccinesWork #VaccinesSaveLives ht…",1
"129","RT @NBCNews: A large new study finds kids who got no childhood vaccines were more likely to be diagnosed with autism than kids who did get…",1
"130","The Pediatric Clinic at the @univmiami Miller School of Medicine is offering FREE vaccines for all children by appointment only. They are open Monday-Friday. #freevaccines #staysafe https://t.co/Q8SPKLapRn",1
"131","RT @JenniferMarguli: A mom of 12 fully vaccinated kids says 7 came down with the measles. When she called NY public health they told her ab…",1
"132","RT @UN: World Immunization Week is underway. Let's close the immunization gap! #VaccinesWork https://t.co/bzdkPpG7BU @WHO https://t.co/aBdf…",1
"133","RT @jessicafortexas: As National Immunization Awareness Month comes to a close, I encourage y'all to take a moment to make sure you and you…",1
"134","RT @DanRather: I desperately hope we get a vaccine. I desperately hope we get better therapeutics. But all you have to do is look around at…",1
"135","Dept of Health monthly immunization clinics in New Wilmington area beginning Sept 24. More info, see picture: http://t.co/2zK1j4QHGH",1
"136","RT @DCDelMonte: What a sad, terrible thing. Needless suffering for so many children who will become ill with vaccine preventable illnesses…",1
"137","RT @AP: BREAKING: An experimental coronavirus vaccine has been shown in an early trial to prompt a protective immune response in people, sc…",1
"138","RT @sfchronicle: JUST IN: The University of California system is requiring students, faculty and staff to get flu vaccinations before Novem…",1
"139","Improved but we could be doing better ..Washington’s rate of HPV vaccinations rising | https://t.co/2ZETmQKnhZ https://t.co/HGJcrOFc6R",1
"140","RT @TexasDSHS: Child check-ups and recommended vaccines have been on hold for the last few months. Get your children back on their vaccine…",1
"141","RT @Perpetualmaniac: ** VAX RESEARCH THREAD **

@SallyKP delves into the studies showing that the vaccine additive “aluminum hydroxide” is…",1
"142","RT @ScienceNews: Early results suggest a coronavirus vaccine works, but more human trials are needed.
 https://t.co/K4BFMG0At3",1
"143","@fmjgibbs @LadyA08 Our sympathies are with you &amp; your family Ms. Fannie Marie. The governor’s risky decision will likely cripple the state in the coming weeks. We remain in faith that the science community will find a vaccine. 🙏🏼",1
"144","@tomcsheppard In my bill there would be no penalty for not vaccinating, except that a non-vaccinated child could not be enrolled in school unless they had a medical exemption to the school vaccine requirements.",1
"145","Vaccines work. Not using them puts lives at risk, plain and simple https://t.co/NC5Jy4ivms",1
"146","RT @thereal_truther: Vaccines protect the most vulnerable.

#SB276 will help protect those who need it the most.

It will save lives. 

I m…",1
"147","Thank you @ACSCAN_NY and @YMCARochester for hosting this morning's """"Children and Cancer Prevention"""" policy forum. Excellent presentations from physicians on the HPV vaccine, obesity, and tobacco use. Together we can protect our children's future and work to make a healthier #ROC. https://t.co/gfs44TW5ww",1
"148","RT @ericacbarnett: Disneyland measles linked to low vaccination rates. Problem is, anti-vaxxers don't care. They'd rather have their kids (…",1
"149","RT @drvije: Great Day at Capital: Message is clear #VaccinesWork #VaccinesCauseAdults Thank you for the commitment for Healthy Texas ⁦@Sara…",1
"150","RT @JoeBiden: The coronavirus test should be made widely available and free.

The coronavirus vaccine, when ready, should be made widely av…",1
"151","@mattbc It involved a schtick I was trying to convince people to do with me against anti-vaxxers. Alas, people thought wearing them while testifying on a bill to rein in vaccination exemptions would be gauche.",1
"152","“And if you don’t care about democracy, think for a moment about #coronavirus. If and when a vaccine comes along, will enough people want to have it? @Facebook is riddled with anti-vaxxing like it’s infected by antisemitism.” #Ivax2protect #StopAntiVaxViolence #StopHateForProfit",1
"153","RT @HillaryClinton: The science is clear: The earth is round, the sky is blue, and #vaccineswork. Let's protect all our kids. #Grandmothers…",1
"154","RT @PPSATSC: """"This bill provides information about the virus and the vaccine to children and their parents"""" - @beth4house #PutPreventionFir…",1
"155","RT @moderatemama: @SarahforHD134 has a bold young supporter outside @GovAbbott event promoting vaccine optional candidate in heart of @TXMe…",1
"156","RT @annamerlan: The anti-vaccine crowd has evidently decided their persecution can only be expressed in Holocaust metaphors. At a rally in…",1
"157","I discussed #pharmacy legislation, including a bill extending #Immunization opportunities, as well as an upcoming #PharmacyBenefitManager transparency package, with a group of Pharmacy Students. #WorkingForYou #AffordableCare #Plan4PA https://t.co/ATkOxqYUAk",1
"158","RT @PPMO_Advocates: Fetal tissue research is responsible for polio vaccine &amp; groundbreaking developments in understanding ALS, diabetes &amp; m…",1
"159","“I think bars are in one of the most difficult situations,” he said. “So I just don’t know how, until probably we have a vaccine, I’m not sure how we bring the bars back,” @orlandomayor Dyer said. 😷 

https://t.co/ZT799LsxHq",1
"160","5. Flu season will complicate COVID response and strain resources. DSHS is scaling up for this, and the same behaviors that slow COVID, slow flu. But more important than ever to get your annual flu vaccine. 5/5",1
"161","Yes tests
Yes vaccine
Yes masks https://t.co/dTx21H86st",1
"162","RT @CTSenateDems: """"When you look at the data and see the exponential growth of non-medical exemptions to #vaccinations in our state, it cau…",1
"163","RT @LisaPatelMD: Thanks @GavinNewsom for supporting science-based vaccine policy! We look forward to you signing #SB276 into law! https://t…",1
"164","RT @FrankLuntz: Facebook page membership

• Pro-vaccine pages: 6.9 million 
• Anti-vaxx pages:  4.2 million

https://t.co/a2OhqeGpTR",1
"165","@Chris_Frijol @azcentral Let’s not skirt the issue. For every other therapy or drug, children for whom it could cause harm or death don’t receive it. Shouldn’t the same SOC apply to children at risk re vaccination? What about their health? Also Per cdc-2,090 vaccine deaths since 2000-ALL preventable.",1
"166","RT @HigherHeights: Meet the Black Woman Taking the lead to Develop a Vaccine For #Covid19 https://t.co/HbvBMpwH0l #BlackWomenLead",1
"167","Many of us are lucky to have grown up without measles and other diseases. I’m grateful for vaccines. #VaccinesWork https://t.co/NWJiJkvYpV",1
"168","National Immunization Awareness Month reminds us that making sure children’s immunizations are up-to-date is part of back-to-school preparations. Vaccines protect against conditions that can be life-threatening, such as measles, mumps &amp; hepatitis. #NIAM19
https://t.co/h9uXNcKi0n https://t.co/U3GJR9EOJB",1
"169","At today’s #PASenate #PABudget hearing, I questioned @PAHealthDept Secretary Rachel Levine about misinformation concerning childhood vaccination and its role in the resurgence of diseases such as polio and measles. https://t.co/uY9bQwH7hl",1
"170","RT @AllentownMayor: TODAY.....

ALLENTOWN HEALTH BUREAU OFFERS FLU VACCINE
 
The Allentown Health Bureau is offering free flu vaccine... ht…",1
"171","Praying for the families of 60 people killed in Samoa due to a measles epidemic. In 2014, Samoa had a 90% #vaccination rate, but plummeted to 30% in 2019.

52 deaths &amp; 2,069 cases have been kids aged 4, or younger.

These deaths are preventable. #mapoli https://t.co/y0IVxjNcFB",1
"172","RT @thereal_truther: At today's #antivax publicity stunt by @joshbucky &amp; @Iridispcablin a sign claims we give '69 vaccines.' At the last on…",1
"173","RT @BernieSanders: If and when the vaccine comes, it won’t do somebody any good if they can't afford it.

This is not a time for the drug c…",1
"174","ICYMI: this is what #sexism looks like in journalism. A male rep/science denier says #vaccines cause autism + promotes ableism IN THE WELL + somehow, I’m the irrational, emotional one for calling it out. I would expect so much better from @educationweek. #COPolitics #coleg https://t.co/HUssQXlnw8",1
"175","RT @spcaLA: Saturday March 17th, LOW COST VACCINE CLINIC in Downtown LA! Join us at Asm. @SantiagoAD53 Pet Fair at Spring Street Park 10am-…",1
"176","RT @csgreeley: Bad news for kids || The state of the antivaccine movement in the United States: https://t.co/mhhNYMucMr @PeterHotez @BCMPed…",1
"177","Why is @Facebook giving this antivaxxer a platform to promote #COVID19 disinformation? #StopHateForProfit #WearAMaskSaveALife https://t.co/f9FVxbs0vg",1
"178","There have already been 16 reported flu cases in Delaware. @Delaware_DHSS is hosting flu vaccination clinics across the state over the next month. Most drug and grocery stores also offer vaccinations. #FluVaxDE https://t.co/pVWQls38Iu",1
"179","RT @MetroSchools: #BacktoMNPS Got a 7th Grade student?  They need updated vaccination records before school starts. Learn about requirement…",1
"180","RT @TucsonStar: Free dog vaccine clinic at Ward 5 office Saturday http://t.co/OyUsrHqAmV http://t.co/BgiQq8uJU7",1
"181","RT @LHSMcCoy: @LetoHighSchool Need backpacks for the whole family? Immunizations? Hair cuts! Join us at Leto on July 28th from 8-2 for our…",1
"182","RT @doritmi: Reminder: #vaccines don’t cause autism.  #DoctorsSpeakUp #parentsspeakup https://t.co/CSHEEPO1HL",1
"183","RT @PaSenateDems: Vaccine-preventable diseases can be very dangerous.

Some may require hospitalization while other may result in death.…",1
"184","RT @MelodyButler: Vaccines save lives.  Antivaxers should not threaten advocates for public health. #StopAntivaxViolence #vaccineswork #SB2…",1
